Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Mechanical power [W],Torque-speed interaction,Tool wear-torque interaction,Type_H,Type_L,Type_M,Machine failure
302.6,311.4,1738,25.8,128,8.799999999999955,4695.6757074675925,44840.4,3302.4,0,1,0,0
297.1,308.2,1347,50.8,49,11.099999999999966,7165.721515426031,68427.59999999999,2489.2,0,1,0,0
303.8,312.7,1664,29.3,178,8.899999999999977,5105.632604810036,48755.200000000004,5215.400000000001,0,1,0,0
298.6,309.8,1637,34.6,207,11.199999999999989,5931.347873928553,56640.200000000004,7162.200000000001,0,1,0,0
301.6,311.1,1907,21.5,102,9.5,4293.56231978361,41000.5,2193.0,0,1,0,0
302.3,311.2,1505,36.7,78,8.899999999999977,5784.038594401728,55233.50000000001,2862.6000000000004,0,0,1,0
298.2,309.0,1410,47.6,76,10.800000000000011,7028.371084611086,67116.0,3617.6,0,0,1,0
296.8,307.9,1709,28.4,118,11.099999999999966,5082.636146585759,48535.6,3351.2,0,1,0,0
297.2,308.3,1776,28.0,43,11.100000000000023,5207.503982590441,49728.0,1204.0,0,0,1,0
300.2,310.2,1600,31.5,23,10.0,5277.875658030853,50400.0,724.5,0,1,0,0
301.0,310.7,1391,45.0,123,9.699999999999989,6554.933071715104,62595.0,5535.0,0,1,0,0
298.7,309.3,1402,45.3,190,10.600000000000023,6650.814479502664,63510.6,8607.0,1,0,0,0
298.1,307.9,1496,40.0,0,9.799999999999955,6266.430146360441,59840.0,0.0,0,0,1,0
301.5,310.3,1415,41.6,28,8.800000000000011,6164.223665363653,58864.0,1164.8,0,1,0,0
301.1,311.1,1711,29.1,170,10.0,5214.007079383371,49790.100000000006,4947.0,0,1,0,0
296.8,307.8,1664,32.8,142,11.0,5715.520458626935,54579.2,4657.599999999999,0,0,1,0
298.2,308.4,1477,49.9,72,10.199999999999989,7718.086807755699,73702.3,3592.7999999999997,0,1,0,0
297.4,309.0,1520,37.0,147,11.600000000000023,5889.439027929666,56240.0,5439.0,0,0,1,0
298.9,308.9,1487,39.5,30,10.0,6150.871896585897,58736.5,1185.0,0,0,1,0
299.3,309.1,1551,39.1,147,9.800000000000011,6350.63530145216,60644.100000000006,5747.7,0,1,0,0
298.3,308.2,1663,28.4,67,9.899999999999977,4945.830258497435,47229.2,1902.8,0,1,0,0
301.0,311.0,1423,38.6,199,10.0,5752.025765261648,54927.8,7681.400000000001,0,0,1,0
301.5,311.1,1434,49.6,129,9.600000000000023,7448.339190542969,71126.40000000001,6398.400000000001,0,1,0,0
300.5,311.6,1476,39.1,199,11.100000000000023,6043.544619563757,57711.6,7780.900000000001,0,0,1,0
300.6,310.0,1425,49.5,174,9.399999999999977,7386.669726753,70537.5,8613.0,0,1,0,0
301.3,310.8,1455,41.2,56,9.5,6277.530440403125,59946.00000000001,2307.2000000000003,0,0,1,0
297.2,308.4,1863,26.0,110,11.199999999999989,5072.41549848608,48438.0,2860.0,0,0,1,0
298.8,308.8,1523,44.4,55,10.0,7081.275504897538,67621.2,2442.0,0,1,0,0
300.4,310.0,1769,26.1,38,9.600000000000023,4835.005341654299,46170.9,991.8000000000001,0,1,0,0
301.6,311.1,1408,44.4,106,9.5,6546.576435256554,62515.2,4706.4,0,1,0,0
298.7,309.6,1424,50.4,32,10.900000000000034,7515.694937035934,71769.59999999999,1612.8,0,0,1,0
301.5,310.7,1435,38.5,224,9.199999999999989,5785.504670973403,55247.5,8624.0,0,1,0,0
298.0,308.1,1552,36.6,190,10.100000000000023,5948.417194013057,56803.200000000004,6954.0,0,0,1,0
302.2,311.6,1592,37.7,79,9.400000000000034,6285.112150673789,60018.4,2978.3,0,0,1,0
300.6,310.4,1494,47.3,118,9.799999999999955,7400.147159236901,70666.2,5581.4,0,1,0,0
297.5,309.4,1433,48.3,139,11.899999999999977,7248.062658876618,69213.9,6713.7,0,0,1,0
297.3,308.7,1491,40.2,112,11.399999999999977,6276.7136263131915,59938.200000000004,4502.400000000001,0,1,0,0
300.1,311.5,2218,17.0,123,11.399999999999977,3948.5630865418916,37706.0,2091.0,0,1,0,0
302.0,310.9,1679,29.0,222,8.899999999999977,5098.909596531354,48691.0,6438.0,1,0,0,0
299.2,308.4,1393,48.4,35,9.199999999999989,7060.331553873606,67421.2,1694.0,0,1,0,0
302.1,310.7,1364,47.8,213,8.599999999999966,6827.64425799772,65199.2,10181.4,0,0,1,1
300.0,309.2,1635,32.4,4,9.199999999999989,5547.424307708856,52974.0,129.6,0,0,1,0
301.4,310.8,1431,44.3,21,9.400000000000034,6638.530852227128,63393.299999999996,930.3,0,1,0,0
300.8,310.3,1537,33.3,52,9.5,5359.776978509938,51182.1,1731.6,0,1,0,0
299.7,309.2,1572,32.8,142,9.5,5399.518125577849,51561.6,4657.599999999999,1,0,0,0
296.8,307.9,1843,25.2,116,11.099999999999966,4863.56241887543,46443.6,2923.2,0,0,1,0
298.0,307.7,1547,36.8,186,9.699999999999989,5961.653771060182,56929.6,6844.799999999999,1,0,0,0
301.0,310.9,1679,29.8,64,9.899999999999977,5239.569171608081,50034.200000000004,1907.2,0,1,0,0
295.7,306.1,1343,54.4,119,10.400000000000034,7650.741533238246,73059.2,6473.599999999999,0,1,0,0
299.3,310.7,1374,48.9,222,11.399999999999977,7035.973738832773,67188.59999999999,10855.8,0,0,1,0
300.8,309.7,1373,45.4,179,8.899999999999977,6527.622159579896,62334.2,8126.599999999999,0,1,0,0
298.6,309.7,1627,33.4,99,11.099999999999966,5690.6599887615275,54341.799999999996,3306.6,0,1,0,0
300.4,311.5,1492,44.6,149,11.100000000000023,6968.387608878545,66543.2,6645.400000000001,0,1,0,0
300.4,310.5,2424,14.5,12,10.100000000000023,3680.6899529458015,35148.0,174.0,0,1,0,0
301.3,310.5,1365,47.7,70,9.199999999999989,6818.355615718608,65110.50000000001,3339.0,0,1,0,0
300.0,309.6,1694,28.7,94,9.600000000000023,5091.244110456595,48617.799999999996,2697.7999999999997,0,1,0,0
301.4,310.3,2203,16.6,169,8.900000000000034,3829.5805007749345,36569.8,2805.4,0,1,0,0
302.4,310.9,1469,39.6,86,8.5,6091.799482722897,58172.4,3405.6,0,1,0,0
297.3,308.6,1584,29.4,141,11.300000000000011,4876.757108020507,46569.6,4145.4,0,0,1,0
304.2,313.6,1424,43.7,151,9.400000000000034,6516.584697390285,62228.8,6598.700000000001,0,0,1,0
298.9,310.0,1719,27.3,58,11.100000000000023,4914.361972083978,46928.700000000004,1583.4,0,1,0,0
297.4,309.2,1620,33.2,28,11.800000000000011,5632.247309355781,53784.00000000001,929.6000000000001,0,1,0,0
302.1,311.2,1454,46.8,0,9.099999999999966,7125.886120578512,68047.2,0.0,0,1,0,0
301.9,310.9,1486,40.3,6,9.0,6271.22631114492,59885.799999999996,241.79999999999998,0,1,0,0
297.2,308.5,1550,41.5,125,11.300000000000011,6736.098248072115,64325.0,5187.5,0,1,0,0
298.0,308.9,1339,51.4,68,10.899999999999977,7207.295258208536,68824.59999999999,3495.2,0,0,1,0
300.2,311.6,1999,21.0,19,11.400000000000034,4396.030600168197,41979.0,399.0,0,1,0,0
296.9,308.0,1546,31.1,11,11.100000000000023,5034.988658006313,48080.600000000006,342.1,0,1,0,0
303.5,312.8,1404,55.8,84,9.300000000000011,8204.080719290529,78343.2,4687.2,1,0,0,0
297.2,308.5,1494,39.6,181,11.300000000000011,6195.47204029136,59162.4,7167.6,0,1,0,0
302.1,311.5,1987,20.1,21,9.399999999999977,4182.3708837975555,39938.700000000004,422.1,0,1,0,0
300.6,310.8,1378,51.2,119,10.199999999999989,7388.355714810427,70553.6,6092.8,0,1,0,0
302.6,312.4,1398,41.6,40,9.799999999999955,6090.16585454303,58156.8,1664.0,0,1,0,0
298.7,309.7,1697,29.8,74,11.0,5295.740848254267,50570.6,2205.2000000000003,1,0,0,0
296.7,308.0,1451,50.7,197,11.300000000000011,7703.782089206355,73565.7,9987.900000000001,0,1,0,0
300.5,311.9,1370,44.8,20,11.399999999999977,6427.279690224237,61375.99999999999,896.0,0,0,1,0
301.3,311.1,1560,35.3,55,9.800000000000011,5766.707474929423,55067.99999999999,1941.4999999999998,0,1,0,0
300.9,311.0,1567,34.3,130,10.100000000000023,5628.487870146985,53748.1,4459.0,0,0,1,0
303.7,312.7,1395,53.9,123,9.0,7873.930747324777,75190.5,6629.7,0,1,0,0
301.0,310.9,1495,37.3,21,9.899999999999977,5839.540064615147,55763.49999999999,783.3,1,0,0,0
303.6,312.7,2174,17.6,37,9.099999999999966,4006.82915829047,38262.4,651.2,0,0,1,0
297.5,309.1,1540,38.5,176,11.600000000000023,6208.8342810446275,59290.0,6776.0,0,0,1,0
297.6,308.4,1569,38.3,93,10.799999999999955,6292.892828479178,60092.7,3561.8999999999996,0,0,1,0
302.3,311.7,2170,18.2,91,9.399999999999977,4135.802008695843,39494.0,1656.2,0,1,0,0
298.0,308.5,1713,25.3,124,10.5,4538.438995155423,43338.9,3137.2000000000003,0,1,0,0
302.7,312.4,1477,46.3,251,9.699999999999989,7161.270925833444,68385.09999999999,11621.3,0,1,0,1
297.1,308.0,1559,38.8,229,10.899999999999977,6334.4142113841235,60489.2,8885.199999999999,1,0,0,0
300.3,309.2,1649,32.4,50,8.899999999999977,5594.925188631134,53427.6,1620.0,0,1,0,0
300.2,309.7,1448,36.8,14,9.5,5580.138759208238,53286.399999999994,515.1999999999999,0,1,0,0
298.3,309.4,1356,45.4,96,11.099999999999966,6446.799452578542,61562.4,4358.4,0,1,0,0
301.8,310.7,1597,30.8,74,8.899999999999977,5150.913426923777,49187.6,2279.2000000000003,0,1,0,0
299.0,310.2,1516,35.3,102,11.199999999999989,5604.056751277568,53514.799999999996,3600.6,0,1,0,0
302.2,311.3,1510,37.1,10,9.100000000000023,5866.50540155846,56021.0,371.0,0,0,1,0
299.2,308.4,1330,51.2,56,9.199999999999989,7130.996444628352,68096.0,2867.2000000000003,0,0,1,0
300.2,309.5,1500,45.7,89,9.300000000000011,7178.539213452678,68550.0,4067.3,0,0,1,0
301.6,310.7,1683,29.7,131,9.099999999999966,5234.427431631706,49985.1,3890.7,0,1,0,0
299.9,310.4,1419,45.7,178,10.5,6790.8980959262335,64848.3,8134.6,0,1,0,0
298.6,309.0,1469,46.0,4,10.399999999999977,7076.3327324558895,67574.0,184.0,0,1,0,0
300.9,311.0,2235,15.8,156,10.100000000000023,3697.9687125405458,35313.0,2464.8,0,1,0,0
301.9,310.8,1400,58.2,79,8.900000000000034,8532.565647149877,81480.0,4597.8,0,1,0,0
298.2,308.3,1448,43.3,199,10.100000000000023,6565.761094394476,62698.399999999994,8616.699999999999,0,0,1,0
298.2,308.9,1367,45.0,85,10.699999999999989,6441.835736185871,61515.0,3825.0,0,1,0,0
298.6,309.1,1587,37.3,203,10.5,6198.896376283771,59195.1,7571.9,0,0,1,0
300.5,309.9,1480,40.0,148,9.399999999999977,6199.409503083858,59200.0,5920.0,0,1,0,0
300.8,310.2,1850,22.8,33,9.399999999999977,4417.07927094725,42180.0,752.4,0,1,0,0
298.1,308.6,1558,42.4,14,10.5,6917.703247400629,66059.2,593.6,0,1,0,0
297.1,308.1,1446,36.6,227,11.0,5542.146432050826,52923.6,8308.2,0,1,0,0
302.3,311.8,1475,42.8,38,9.5,6610.958140704121,63129.99999999999,1626.3999999999999,1,0,0,0
301.1,310.6,1611,35.2,70,9.5,5938.364097521571,56707.200000000004,2464.0,0,1,0,0
300.4,310.5,1578,32.8,26,10.100000000000023,5420.126973385398,51758.399999999994,852.8,0,1,0,0
297.3,308.5,1710,27.7,138,11.199999999999989,4960.260640752925,47367.0,3822.6,0,0,1,0
302.5,310.5,1520,41.2,154,8.0,6557.969944613575,62624.00000000001,6344.8,0,1,0,0
302.2,310.7,1601,33.0,166,8.5,5532.658822236985,52833.0,5478.0,0,0,1,0
297.2,308.6,1636,31.3,192,11.400000000000034,5362.363556461394,51206.8,6009.6,0,1,0,0
297.1,307.8,1636,30.3,90,10.699999999999989,5191.042037085631,49570.8,2727.0,0,1,0,0
296.2,307.2,1552,34.8,8,11.0,5655.872086110775,54009.6,278.4,0,0,1,0
300.3,311.4,1318,52.7,13,11.099999999999966,7273.6875829544,69458.6,685.1,0,1,0,0
299.8,309.2,1400,42.6,210,9.399999999999977,6245.486195336508,59640.0,8946.0,0,1,0,0
298.6,309.5,1420,50.4,82,10.899999999999977,7494.583434403809,71568.0,4132.8,1,0,0,0
301.9,310.8,1906,21.7,62,8.900000000000034,4331.230015700153,41360.2,1345.3999999999999,0,1,0,0
302.1,310.8,1565,35.3,6,8.699999999999989,5785.190511708043,55244.49999999999,211.79999999999998,0,1,0,0
302.4,311.1,1905,20.9,77,8.700000000000045,4169.364690211693,39814.5,1609.3,0,1,0,0
298.6,309.8,1419,44.9,115,11.199999999999989,6672.020229914395,63713.1,5163.5,0,0,1,0
296.9,307.8,1285,52.1,100,10.900000000000034,7010.830525628543,66948.5,5210.0,0,1,0,0
298.3,308.5,1664,31.6,144,10.199999999999989,5506.416051603998,52582.4,4550.400000000001,0,1,0,0
296.8,307.9,1337,56.5,5,11.099999999999966,7910.582661616658,75540.5,282.5,0,1,0,0
302.2,311.2,1692,28.2,122,9.0,4996.640283681493,47714.4,3440.4,1,0,0,0
298.7,309.9,1404,47.1,64,11.199999999999989,6924.94985445491,66128.40000000001,3014.4,0,1,0,0
298.2,307.6,1511,31.0,209,9.400000000000034,4905.178049559983,46841.0,6479.0,0,1,0,1
300.5,309.7,1580,42.8,196,9.199999999999989,7081.568720211872,67624.0,8388.8,0,1,0,0
302.8,310.6,1404,43.2,203,7.800000000000011,6351.5463633217005,60652.8,8769.6,0,1,0,0
302.0,310.8,1609,35.2,4,8.800000000000011,5930.991826761146,56636.8,140.8,0,0,1,0
299.2,308.5,1457,44.7,195,9.300000000000011,6820.17773945769,65127.9,8716.5,0,1,0,0
299.2,308.5,1742,28.9,150,9.300000000000011,5271.990407793128,50343.799999999996,4335.0,0,0,1,0
302.9,311.0,1469,48.7,130,8.100000000000023,7491.682697186997,71540.3,6331.0,1,0,0,0
297.8,308.5,1448,40.0,192,10.699999999999989,6065.368216530695,57920.0,7680.0,0,1,0,0
297.2,308.6,1335,53.0,39,11.400000000000034,7409.446273491528,70755.0,2067.0,0,1,0,0
297.5,308.6,1536,38.7,7,11.100000000000023,6224.87734752896,59443.200000000004,270.90000000000003,1,0,0,0
303.6,312.5,1607,33.7,14,8.899999999999977,5671.192586284783,54155.9,471.80000000000007,0,0,1,0
296.8,307.9,1698,30.8,48,11.099999999999966,5476.675641150014,52298.4,1478.4,0,1,0,0
301.2,309.8,1709,27.0,151,8.600000000000023,4832.083660486461,46143.0,4077.0,1,0,0,0
300.8,312.4,1365,44.5,129,11.599999999999966,6360.939725355934,60742.5,5740.5,0,1,0,0
299.7,309.6,1553,36.8,174,9.900000000000034,5984.775892990603,57150.399999999994,6403.2,0,1,0,0
298.1,307.4,1335,56.2,190,9.299999999999955,7856.809067362715,75027.0,10678.0,0,0,1,0
297.2,307.9,1540,37.1,164,10.699999999999989,5983.058489006642,57134.0,6084.400000000001,0,1,0,0
300.3,310.4,1293,49.7,37,10.099999999999966,6729.511375475089,64262.100000000006,1838.9,0,0,1,0
298.3,309.0,1470,38.4,10,10.699999999999989,5911.2207369945545,56448.0,384.0,1,0,0,0
300.1,309.4,1453,47.6,28,9.299999999999955,7242.711479390005,69162.8,1332.8,0,1,0,0
299.9,309.1,1345,56.8,10,9.200000000000045,8000.170412121527,76396.0,568.0,0,0,1,0
301.3,311.0,1539,36.9,206,9.699999999999989,5946.940645465871,56789.1,7601.4,0,1,0,0
299.4,308.6,1492,40.5,181,9.200000000000045,6327.795922860561,60426.0,7330.5,0,1,0,0
298.4,309.3,1395,47.6,24,10.900000000000034,6953.601179455648,66402.0,1142.4,0,1,0,0
302.3,311.5,1387,47.3,2,9.199999999999989,6870.15000660079,65605.09999999999,94.6,0,1,0,0
300.9,310.9,1497,43.2,62,10.0,6772.268451490445,64670.4,2678.4,0,1,0,0
298.8,308.5,1736,29.0,31,9.699999999999989,5272.0113517441505,50344.0,899.0,0,1,0,0
297.8,307.6,1607,30.3,62,9.800000000000011,5099.024788261986,48692.1,1878.6000000000001,0,1,0,0
300.0,309.5,1879,22.4,79,9.5,4407.612605084431,42089.6,1769.6,0,0,1,0
297.5,308.9,1738,24.0,195,11.399999999999977,4368.070425551248,41712.0,4680.0,0,1,0,0
297.6,308.8,1385,44.4,181,11.199999999999989,6439.636621328358,61494.0,8036.4,1,0,0,0
302.2,311.1,1516,33.7,158,8.900000000000034,5350.048513259322,51089.200000000004,5324.6,0,0,1,0
303.8,313.0,1633,32.9,207,9.199999999999989,5626.142147632305,53725.7,6810.299999999999,0,1,0,0
300.6,310.7,1397,53.7,80,10.099999999999966,7855.960837346244,75018.90000000001,4296.0,0,1,0,0
297.3,308.3,1268,60.6,119,11.0,8046.749759198753,76840.8,7211.400000000001,0,1,0,0
297.6,308.6,1529,45.3,15,11.0,7253.277702681578,69263.7,679.5,0,1,0,0
300.2,311.0,2370,14.7,144,10.800000000000011,3648.3315486138267,34839.0,2116.7999999999997,0,0,1,0
302.4,310.1,1645,31.6,93,7.7000000000000455,5443.542310630154,51982.0,2938.8,0,1,0,0
303.7,312.4,1702,31.2,144,8.699999999999989,5560.870324266221,53102.4,4492.8,0,1,0,0
299.8,309.3,1640,31.1,211,9.5,5341.126390123128,51004.0,6562.1,0,0,1,0
299.7,311.1,1574,36.4,135,11.400000000000034,5999.771761923738,57293.6,4914.0,0,1,0,0
297.5,309.4,1650,34.6,142,11.899999999999977,5978.450819781377,57090.0,4913.2,0,1,0,0
301.5,310.0,1417,44.6,49,8.5,6618.100028003282,63198.200000000004,2185.4,0,0,1,0
298.1,308.1,1456,43.7,80,10.0,6663.024802949617,63627.200000000004,3496.0,0,0,1,0
299.5,310.1,1585,35.2,50,10.600000000000023,5842.524577636058,55792.00000000001,1760.0000000000002,0,1,0,0
301.0,310.6,1493,37.8,206,9.600000000000023,5909.901268080047,56435.399999999994,7786.799999999999,0,1,0,1
301.7,310.7,1659,29.9,73,9.0,5194.529204931115,49604.1,2182.7,0,0,1,0
297.3,308.4,1469,46.7,65,11.099999999999966,7184.016056645436,68602.3,3035.5,0,1,0,0
302.2,310.1,1421,45.4,9,7.900000000000034,6755.827449936659,64513.4,408.59999999999997,0,0,1,0
303.6,312.8,1689,33.1,16,9.199999999999989,5854.452157744187,55905.9,529.6,0,0,1,0
298.5,309.6,1579,33.5,91,11.100000000000023,5539.308526687082,52896.5,3048.5,1,0,0,0
300.6,310.2,1318,51.0,8,9.599999999999966,7039.05249963329,67218.0,408.0,0,1,0,0
302.1,310.6,1517,38.9,2,8.5,6179.648885292779,59011.299999999996,77.8,0,0,1,0
297.1,308.2,2267,15.7,181,11.099999999999966,3727.175052243418,35591.9,2841.7,0,1,0,0
299.4,308.6,1415,56.4,175,9.200000000000045,8357.264777079567,79806.0,9870.0,0,1,0,0
301.0,310.7,1300,57.2,174,9.699999999999989,7786.960990697901,74360.0,9952.800000000001,0,1,0,0
297.9,308.5,1383,44.6,184,10.600000000000023,6459.30299133983,61681.8,8206.4,1,0,0,0
301.9,310.8,1427,47.7,92,8.900000000000034,7128.05381950949,68067.90000000001,4388.400000000001,0,1,0,0
299.4,309.3,1391,46.6,185,9.900000000000034,6787.997358709419,64820.6,8621.0,0,1,0,0
299.3,310.4,1510,45.5,27,11.099999999999966,7194.770775496224,68705.0,1228.5,1,0,0,0
300.0,311.5,1445,41.6,81,11.5,6294.913919752988,60112.0,3369.6,0,1,0,0
298.2,309.1,1568,36.3,166,10.900000000000034,5960.480909802842,56918.399999999994,6025.799999999999,0,1,0,0
300.9,311.9,2140,16.5,43,11.0,3697.6545532751866,35310.0,709.5,1,0,0,0
299.6,310.9,1472,40.9,137,11.299999999999955,6304.631913028092,60204.799999999996,5603.3,0,1,0,0
298.5,309.6,1502,39.4,84,11.100000000000023,6197.189444275321,59178.799999999996,3309.6,0,0,1,0
300.6,310.0,1455,40.4,172,9.399999999999977,6155.63664544384,58782.0,6948.8,0,1,0,0
299.1,310.6,1577,37.1,44,11.5,6126.807296859399,58506.700000000004,1632.4,0,1,0,0
302.5,310.3,1688,31.6,66,7.800000000000011,5585.835513886748,53340.8,2085.6,0,1,0,0
298.9,310.0,1378,49.3,18,11.100000000000023,7114.178451956133,67935.4,887.4,0,1,0,0
298.5,309.3,1761,27.2,49,10.800000000000011,5015.992494427607,47899.2,1332.8,0,0,1,0
297.5,308.2,1489,40.7,141,10.699999999999989,6346.258015688157,60602.3,5738.700000000001,0,1,0,0
297.7,309.0,1531,42.4,38,11.300000000000011,6797.820071739642,64914.4,1611.2,0,0,1,0
297.4,308.2,1359,46.9,199,10.800000000000011,6674.5335040372665,63737.1,9333.1,1,0,0,0
301.7,310.6,1660,28.7,66,8.900000000000034,4989.05857341083,47642.0,1894.2,0,1,0,0
301.0,311.9,1889,23.5,198,10.899999999999977,4648.667009394377,44391.5,4653.0,0,1,0,0
302.3,310.1,1353,50.9,36,7.800000000000011,7211.808679654193,68867.7,1832.3999999999999,0,1,0,1
298.3,309.1,1616,31.1,195,10.800000000000011,5262.963564901813,50257.600000000006,6064.5,0,1,0,0
299.2,309.1,1503,34.7,6,9.900000000000034,5461.564580486248,52154.100000000006,208.20000000000002,0,0,1,0
297.5,308.0,1560,39.0,141,10.5,6371.1499014801,60840.0,5499.0,0,0,1,0
299.6,309.2,1422,39.8,219,9.599999999999966,5926.677372850216,56595.6,8716.199999999999,0,1,0,0
300.5,311.4,1743,27.6,46,10.899999999999977,5037.732315590449,48106.8,1269.6000000000001,0,0,1,0
297.2,307.9,1632,37.5,156,10.699999999999989,6408.849013323178,61200.0,5850.0,0,0,1,0
300.1,309.3,1340,56.0,130,9.199999999999989,7858.170424179269,75040.0,7280.0,0,1,0,0
298.0,308.5,1682,33.0,58,10.5,5812.574727671836,55506.0,1914.0,0,0,1,0
297.6,309.6,1419,48.2,215,12.0,7162.391427213226,68395.8,10363.0,1,0,0,0
300.7,310.9,1650,29.4,102,10.199999999999989,5079.955320854696,48510.0,2998.7999999999997,0,1,0,0
300.8,311.9,1498,39.3,23,11.099999999999966,6164.998591551538,58871.399999999994,903.9,0,1,0,0
303.0,311.2,1382,50.5,203,8.199999999999989,7308.496429556175,69791.0,10251.5,0,1,0,0
301.9,310.7,1511,37.6,70,8.800000000000011,5949.506279466303,56813.6,2632.0,0,0,1,0
297.9,307.7,1464,43.2,97,9.800000000000011,6622.979968591858,63244.8,4190.400000000001,1,0,0,0
301.4,310.6,1459,46.9,27,9.200000000000045,7165.66915554847,68427.09999999999,1266.3,0,0,1,0
298.4,308.3,1422,42.7,186,9.900000000000034,6358.52069901267,60719.4,7942.200000000001,0,1,0,0
300.0,309.3,1413,40.7,117,9.300000000000011,6022.338869152026,57509.100000000006,4761.900000000001,0,0,1,0
